<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.11	09:00:00	1.09421	1.09433	1.09417	1.09429	98	0	2
2024.03.11	09:01:00	1.09430	1.09440	1.09421	1.09435	140	0	2
2024.03.11	09:02:00	1.09434	1.09445	1.09431	1.09440	114	0	2
2024.03.11	09:03:00	1.09443	1.09450	1.09436	1.09444	105	0	2
2024.03.11	09:04:00	1.09442	1.09448	1.09435	1.09436	81	0	2
2024.03.11	09:05:00	1.09438	1.09454	1.09435	1.09443	105	0	2
2024.03.11	09:06:00	1.09442	1.09443	1.09435	1.09438	78	0	2
2024.03.11	09:07:00	1.09439	1.09449	1.09438	1.09448	84	0	2
2024.03.11	09:08:00	1.09448	1.09450	1.09439	1.09443	66	0	2
2024.03.11	09:09:00	1.09443	1.09450	1.09441	1.09449	62	0	2
2024.03.11	09:10:00	1.09448	1.09450	1.09432	1.09444	82	0	2
2024.03.11	09:11:00	1.09444	1.09444	1.09435	1.09439	78	0	2
2024.03.11	09:12:00	1.09439	1.09441	1.09423	1.09427	101	0	2
2024.03.11	09:13:00	1.09428	1.09430	1.09420	1.09423	94	0	2
2024.03.11	09:14:00	1.09423	1.09436	1.09420	1.09434	73	0	2
2024.03.11	09:15:00	1.09433	1.09438	1.09425	1.09437	92	0	2
2024.03.11	09:16:00	1.09438	1.09450	1.09433	1.09448	108	0	2
2024.03.11	09:17:00	1.09449	1.09456	1.09429	1.09440	134	0	2
2024.03.11	09:18:00	1.09441	1.09444	1.09436	1.09439	51	0	2
2024.03.11	09:19:00	1.09439	1.09444	1.09430	1.09433	38	0	2
2024.03.11	09:20:00	1.09430	1.09433	1.09422	1.09424	59	0	2
2024.03.11	09:21:00	1.09424	1.09425	1.09417	1.09420	64	0	2
2024.03.11	09:22:00	1.09420	1.09421	1.09413	1.09414	98	0	2
2024.03.11	09:23:00	1.09414	1.09414	1.09397	1.09408	131	0	2
2024.03.11	09:24:00	1.09409	1.09419	1.09406	1.09418	76	0	2
2024.03.11	09:25:00	1.09419	1.09439	1.09415	1.09437	115	0	2
2024.03.11	09:26:00	1.09436	1.09446	1.09433	1.09444	82	0	2
2024.03.11	09:27:00	1.09442	1.09465	1.09441	1.09458	124	0	2
2024.03.11	09:28:00	1.09458	1.09461	1.09452	1.09457	115	0	2
2024.03.11	09:29:00	1.09457	1.09469	1.09454	1.09467	126	0	2
2024.03.11	09:30:00	1.09468	1.09470	1.09456	1.09464	108	0	1
2024.03.11	09:31:00	1.09462	1.09476	1.09460	1.09469	100	0	1
2024.03.11	09:32:00	1.09469	1.09470	1.09460	1.09461	84	0	1
2024.03.11	09:33:00	1.09463	1.09466	1.09457	1.09462	74	0	1
2024.03.11	09:34:00	1.09460	1.09462	1.09449	1.09455	78	0	1
2024.03.11	09:35:00	1.09455	1.09460	1.09426	1.09430	126	0	1
2024.03.11	09:36:00	1.09431	1.09431	1.09411	1.09415	174	0	1
2024.03.11	09:37:00	1.09417	1.09417	1.09391	1.09396	183	0	1
2024.03.11	09:38:00	1.09395	1.09407	1.09391	1.09401	142	0	1
2024.03.11	09:39:00	1.09397	1.09416	1.09391	1.09409	149	0	1
2024.03.11	09:40:00	1.09410	1.09412	1.09405	1.09408	74	0	1
2024.03.11	09:41:00	1.09409	1.09431	1.09409	1.09427	90	0	1
2024.03.11	09:42:00	1.09432	1.09435	1.09427	1.09429	93	0	1
2024.03.11	09:43:00	1.09427	1.09430	1.09410	1.09416	116	0	1
2024.03.11	09:44:00	1.09416	1.09418	1.09387	1.09393	145	0	1
2024.03.11	09:45:00	1.09395	1.09395	1.09377	1.09390	175	0	1
2024.03.11	09:46:00	1.09389	1.09390	1.09380	1.09381	104	0	1
2024.03.11	09:47:00	1.09381	1.09382	1.09369	1.09378	115	0	1
2024.03.11	09:48:00	1.09377	1.09396	1.09375	1.09395	124	0	1
2024.03.11	09:49:00	1.09393	1.09416	1.09384	1.09411	132	0	1
2024.03.11	09:50:00	1.09412	1.09414	1.09406	1.09414	111	0	1
2024.03.11	09:51:00	1.09413	1.09445	1.09412	1.09444	145	0	1
2024.03.11	09:52:00	1.09445	1.09450	1.09426	1.09431	133	0	1
2024.03.11	09:53:00	1.09433	1.09435	1.09417	1.09430	109	0	1
2024.03.11	09:54:00	1.09429	1.09440	1.09426	1.09431	90	0	1
